domain,has_https,domain_age_years,ssl_valid,ssl_issuer,redirect_count,page_load_time_sec,server_location,server_response_code,ads_density_score,external_links_count,social_media_presence,contact_info_available,privacy_policy_exists,terms_of_service_exists,whois_privacy_enabled,domain_registrar,content_update_frequency,mobile_responsive,security_headers_score,tls_version,certificate_type,hosting_type,cdn_used,javascript_obfuscation_score,popups_present,malware_flag_score,domain_age_bucket
occupydemocrats.com,True,4,True,Cloudflare,4,4.3,Offshore,200,0.74,215,medium,False,False,True,False,Unknown,weekly,False,57,TLS1.0,DV,offshore,no,46,no,97,new
yournewswire.com,False,33,False,none,2,2.2,Offshore,200,0.73,170,none,False,True,True,True,Unknown,weekly,False,49,TLS1.0,self_signed,shared,no,30,no,0,established
infowars.com,True,17,True,self-signed,5,5.9,USA,200,0.91,85,low,False,True,False,True,eNom,irregular,False,34,TLS1.2,DV,offshore,no,54,yes,14,growing
npr.org,True,18,True,InCommon,0,1.6,USA,200,0.05,44,high,True,True,True,True,MarkMonitor,daily,True,85,TLS1.2,OV,enterprise,yes,16,no,0,growing
cdc.gov,False,129,False,none,1,0.7,USA,200,0.27,38,medium,True,True,True,False,CSC Corporate,hourly,True,89,TLS1.2,OV,cloud,yes,7,no,0,legacy
rt.com,True,11,True,self-signed,0,2.7,Offshore,200,0.32,74,low,False,False,False,False,GoDaddy,irregular,False,60,TLS1.1,self_signed,shared,no,28,no,70,growing
mercola.com,True,7,True,GeoTrust,1,7.2,Canada,200,0.57,200,none,False,False,True,True,GoDaddy,daily,True,22,TLS1.0,none,cloud,yes,47,yes,44,new
mayo.edu,True,145,True,Let's Encrypt,1,1.4,USA,200,0.11,26,high,True,True,True,True,Network Solutions,hourly,True,87,TLS1.2,OV,enterprise,yes,9,no,0,legacy
reuters.com,True,123,True,GlobalSign,0,2.0,Canada,200,0.12,18,high,True,True,True,False,CSC Corporate,hourly,True,92,TLS1.3,OV,cloud,yes,12,no,0,legacy
washingtonpost.com,True,167,True,DigiCert,2,0.5,USA,200,0.02,51,medium,True,True,True,False,GoDaddy,hourly,True,98,TLS1.3,EV,enterprise,yes,17,no,0,legacy
bipartisanreport.com,True,2,True,GeoTrust,2,6.1,USA,200,0.99,218,low,False,True,False,True,Namecheap,irregular,True,51,TLS1.2,OV,offshore,no,64,yes,50,new
yournewswire.com,False,36,False,none,5,2.4,UK,200,0.46,114,medium,False,False,False,True,Namecheap,irregular,False,62,TLS1.1,none,cloud,no,91,no,17,established
washingtonpost.com,True,189,True,Amazon,1,0.8,USA,200,0.1,44,medium,True,False,True,False,MarkMonitor,hourly,True,86,TLS1.3,EV,cloud,yes,9,no,0,legacy
stanford.edu,True,125,True,DigiCert,0,0.5,USA,200,0.37,16,high,True,True,True,False,Verisign,weekly,True,88,TLS1.3,EV,cloud,no,19,no,0,legacy
stanford.edu,True,39,True,Amazon,0,0.5,USA,200,0.07,37,high,True,True,True,False,Network Solutions,hourly,True,98,TLS1.3,EV,enterprise,yes,18,no,0,established
conservativetribune.com,False,33,False,none,1,4.7,Offshore,200,0.96,204,medium,True,False,False,True,Namecheap,daily,True,69,none,OV,cloud,yes,40,yes,41,established
economist.com,True,107,True,DigiCert,0,1.8,France,200,0.06,36,high,True,True,True,True,Network Solutions,daily,True,93,TLS1.3,OV,enterprise,yes,11,no,0,legacy
dailywire.com,True,19,True,Let's Encrypt,0,3.8,Offshore,200,0.25,210,none,True,False,False,True,GoDaddy,daily,True,19,none,none,shared,yes,44,no,26,growing
britannica.com,True,17,True,DigiCert,1,1.5,UK,200,0.11,55,medium,True,True,True,False,Network Solutions,weekly,True,99,TLS1.3,OV,cloud,yes,12,no,0,growing
bbc.com.co,True,14,True,self-signed,1,5.5,USA,200,0.9,65,medium,True,False,False,True,OVH,weekly,True,33,TLS1.2,none,cloud,no,32,yes,3,growing
cdc.gov,True,77,True,DigiCert,2,1.2,USA,200,0.1,68,high,True,True,True,False,Network Solutions,hourly,True,83,TLS1.2,EV,enterprise,yes,15,no,0,established
berkeley.edu,True,172,True,DigiCert,2,1.5,USA,200,0.32,41,high,True,True,True,True,GoDaddy,hourly,False,83,TLS1.2,EV,cloud,yes,3,no,0,legacy
apnews.com,False,172,False,none,1,0.8,France,200,0.05,55,high,False,True,True,False,CSC Corporate,daily,True,84,TLS1.3,OV,enterprise,yes,7,no,0,legacy
zerohedge.com,False,2,False,none,1,3.3,Offshore,200,0.87,168,low,False,False,False,True,Unknown,irregular,True,32,TLS1.2,none,shared,no,60,yes,25,new
mit.edu,True,182,True,DigiCert,1,1.8,Germany,200,0.12,39,high,True,True,True,False,CSC Corporate,hourly,True,89,TLS1.3,EV,enterprise,yes,2,no,0,legacy
rt.com,True,4,True,none,3,1.8,USA,200,0.43,208,medium,False,True,False,False,Unknown,irregular,False,30,TLS1.2,none,cloud,no,62,no,87,new
sputniknews.com,True,22,True,Cloudflare,2,3.8,USA,200,0.78,211,medium,False,False,False,True,Namecheap,irregular,False,26,TLS1.2,DV,shared,no,24,yes,17,growing
abcnews.com.co,True,8,True,self-signed,1,3.9,Canada,200,0.96,53,low,False,False,False,True,eNom,irregular,True,66,TLS1.2,DV,cloud,no,60,yes,17,new
davidwolfe.com,True,8,True,Let's Encrypt,5,4.0,Offshore,200,0.62,92,medium,False,True,False,True,Namecheap,weekly,True,68,TLS1.2,DV,offshore,no,67,yes,51,new
nasa.gov,True,8,True,Let's Encrypt,0,1.6,Canada,200,0.15,41,high,True,True,True,False,MarkMonitor,daily,True,98,TLS1.3,OV,cloud,yes,7,no,0,new
naturalnews.com,True,5,True,self-signed,3,3.0,Russia,200,0.94,102,low,True,False,False,True,Namecheap,daily,True,63,TLS1.2,none,offshore,no,75,no,90,new
dailybuzzlive.com,True,4,False,Let's Encrypt,2,2.8,Offshore,200,0.68,168,none,True,False,False,False,Unknown,irregular,False,26,TLS1.2,DV,cloud,no,40,no,81,new
abcnews.com.co,False,40,False,none,0,6.3,Offshore,200,0.81,115,none,False,False,False,True,Namecheap,daily,False,22,none,none,cloud,no,41,yes,61,established
mit.edu,True,65,True,DigiCert,0,0.5,USA,200,0.05,61,medium,True,True,True,False,MarkMonitor,hourly,True,82,TLS1.3,OV,enterprise,yes,7,no,0,established
cam.ac.uk,True,86,True,InCommon,0,2.5,UK,200,0.02,42,high,True,True,True,False,MarkMonitor,hourly,True,83,TLS1.3,OV,enterprise,yes,8,yes,0,established
economist.com,True,69,True,Let's Encrypt,0,1.3,USA,200,0.19,54,high,True,True,True,False,Network Solutions,hourly,True,98,TLS1.3,OV,enterprise,yes,16,no,0,established
davidwolfe.com,False,7,False,none,1,2.6,Offshore,200,0.6,183,low,False,False,False,True,Namecheap,daily,True,20,TLS1.1,DV,cloud,no,95,no,0,new
sputniknews.com,True,27,True,Let's Encrypt,1,5.4,USA,200,0.52,171,low,False,False,False,True,GoDaddy,daily,True,77,TLS1.2,self_signed,shared,no,25,yes,14,established
mercola.com,False,11,False,none,4,9.1,USA,200,0.92,188,low,False,True,False,True,GoDaddy,irregular,False,57,TLS1.2,none,cloud,no,44,yes,29,growing
conservativetribune.com,True,47,False,Let's Encrypt,2,5.5,Offshore,200,0.74,94,none,True,False,False,True,Namecheap,irregular,True,53,TLS1.1,DV,cloud,no,66,yes,0,established
naturalnews.com,True,44,True,Cloudflare,2,4.7,USA,200,0.77,207,low,False,True,True,False,Namecheap,daily,False,77,TLS1.0,DV,cloud,no,92,no,66,established
sputniknews.com,True,7,True,Cloudflare,2,5.7,USA,200,0.97,97,medium,False,True,True,True,GoDaddy,irregular,False,15,TLS1.2,DV,cloud,yes,75,yes,7,new
beforeitsnews.com,True,13,True,GeoTrust,1,5.9,USA,200,0.98,191,low,False,False,True,True,GoDaddy,irregular,True,31,TLS1.2,self_signed,offshore,no,34,yes,23,growing
globalresearch.ca,True,14,False,Cloudflare,3,2.6,UK,200,0.81,101,none,False,False,False,True,Namecheap,irregular,True,42,TLS1.2,DV,offshore,yes,86,yes,51,growing
sputniknews.com,True,1,False,none,1,5.2,USA,200,0.77,166,medium,True,False,False,True,Unknown,daily,True,22,TLS1.2,none,offshore,no,78,yes,27,new
dailymail.co.uk,True,11,False,GeoTrust,2,3.8,Offshore,200,0.57,219,low,False,True,True,True,Namecheap,irregular,True,10,TLS1.2,DV,cloud,no,27,yes,94,growing
wsj.com,True,122,True,InCommon,1,1.1,USA,200,0.11,63,high,True,True,True,False,GoDaddy,hourly,True,87,TLS1.3,OV,enterprise,yes,17,no,0,legacy
activistpost.com,True,7,True,Let's Encrypt,2,2.6,UK,200,0.32,176,medium,False,True,False,True,eNom,daily,True,44,none,self_signed,offshore,no,77,no,17,new
thedailysheeple.com,True,16,False,Let's Encrypt,1,3.9,UK,200,0.95,155,medium,False,False,True,True,GoDaddy,irregular,True,28,TLS1.2,DV,shared,yes,37,yes,52,growing
mit.edu,True,192,True,DigiCert,0,0.8,UK,200,0.28,54,high,True,True,True,False,Network Solutions,hourly,True,90,TLS1.3,OV,enterprise,yes,12,no,0,legacy
naturalnews.com,True,15,True,none,3,1.8,UK,200,0.85,53,medium,False,False,False,True,GoDaddy,irregular,True,29,TLS1.0,none,shared,yes,78,no,18,growing
bbc.com.co,True,16,False,self-signed,0,5.6,Offshore,200,0.81,184,none,False,False,False,True,Namecheap,daily,True,11,TLS1.3,DV,shared,no,85,yes,22,growing
thegatewaypundit.com,True,31,False,self-signed,3,7.1,Offshore,200,0.64,210,none,False,True,False,True,GoDaddy,irregular,True,17,TLS1.1,DV,cloud,no,82,yes,72,established
beforeitsnews.com,True,14,False,GeoTrust,2,2.8,Russia,200,0.76,57,medium,False,True,False,True,GoDaddy,weekly,True,9,none,none,shared,no,60,yes,3,growing
cdc.gov,True,165,True,InCommon,2,0.9,USA,200,0.07,40,medium,True,True,True,False,CSC Corporate,daily,True,96,TLS1.3,DV,enterprise,yes,8,no,0,legacy
activistpost.com,True,5,True,Let's Encrypt,3,2.2,USA,200,0.94,68,medium,False,False,True,True,Unknown,irregular,True,27,TLS1.2,DV,shared,no,49,yes,23,new
beforeitsnews.com,False,4,False,none,2,5.7,UK,200,0.9,187,low,False,True,True,False,GoDaddy,weekly,True,53,TLS1.0,self_signed,offshore,yes,72,no,27,new
cnn.com,True,11,True,InCommon,0,0.7,Germany,200,0.05,40,high,True,True,True,False,Verisign,weekly,True,83,TLS1.3,OV,enterprise,yes,10,no,0,growing
rt.com,True,5,True,self-signed,0,1.5,USA,200,0.9,215,medium,False,False,False,True,GoDaddy,irregular,False,46,TLS1.1,self_signed,shared,yes,37,yes,2,new
theguardian.com,False,20,False,none,1,1.6,UK,200,0.13,30,high,True,True,True,True,Network Solutions,hourly,True,95,TLS1.3,EV,cloud,no,15,no,0,growing
sciencemag.org,True,157,True,DigiCert,0,1.2,France,200,0.06,20,medium,True,True,False,False,CSC Corporate,daily,True,92,TLS1.2,DV,enterprise,yes,16,no,0,legacy
ft.com,True,31,True,DigiCert,1,1.3,Canada,200,0.42,68,medium,True,True,True,False,CSC Corporate,daily,True,92,TLS1.3,EV,cloud,yes,11,no,0,established
nature.com,True,158,True,InCommon,0,2.2,USA,200,0.3,54,high,True,True,True,False,GoDaddy,daily,True,93,TLS1.3,DV,enterprise,yes,13,no,0,legacy
beforeitsnews.com,True,16,True,none,1,1.5,UK,200,0.54,74,low,False,False,False,True,GoDaddy,irregular,True,61,TLS1.1,DV,cloud,no,26,yes,18,growing
britannica.com,True,181,True,Amazon,0,2.0,USA,200,0.13,22,high,True,True,True,False,GoDaddy,hourly,True,97,TLS1.3,OV,enterprise,yes,7,no,0,legacy
rt.com,True,21,True,Let's Encrypt,3,2.2,Offshore,200,0.73,140,medium,False,True,False,True,GoDaddy,irregular,True,8,TLS1.0,DV,shared,yes,26,no,12,growing
nypost.com,True,11,False,Cloudflare,4,6.7,Offshore,200,0.83,195,low,True,False,True,True,Unknown,irregular,True,44,TLS1.2,DV,shared,yes,48,yes,6,growing
bipartisanreport.com,False,16,False,none,0,4.3,Offshore,200,0.9,110,medium,True,False,False,True,eNom,irregular,True,76,none,none,cloud,yes,42,no,0,growing
conservativetribune.com,True,20,True,Cloudflare,2,4.4,UK,200,0.5,64,medium,False,True,False,True,GoDaddy,irregular,True,59,TLS1.3,DV,offshore,no,63,yes,80,growing
newspunch.com,False,21,False,none,2,5.1,Canada,200,0.5,207,low,False,False,False,True,Namecheap,weekly,True,57,TLS1.2,DV,cloud,no,83,no,11,growing
occupydemocrats.com,True,1,True,Let's Encrypt,4,3.8,USA,200,0.59,96,low,False,False,False,True,GoDaddy,weekly,False,16,TLS1.2,none,shared,yes,94,yes,8,new
newspunch.com,True,10,False,Let's Encrypt,0,4.7,Canada,200,0.94,55,medium,False,True,True,True,Unknown,weekly,True,20,TLS1.0,DV,shared,yes,49,no,0,new
wikipedia.org,True,38,True,DigiCert,0,1.1,UK,200,0.44,56,high,True,True,True,False,MarkMonitor,hourly,True,86,TLS1.3,OV,enterprise,yes,10,no,0,established
berkeley.edu,True,182,True,DigiCert,1,1.1,USA,200,0.24,69,high,True,True,True,False,MarkMonitor,daily,True,96,TLS1.2,OV,cloud,yes,12,no,0,legacy
beforeitsnews.com,True,49,True,none,0,3.5,Offshore,200,0.96,185,none,False,True,False,True,Namecheap,daily,True,10,TLS1.2,DV,cloud,yes,78,no,88,established
globalresearch.ca,True,4,True,self-signed,2,3.5,USA,200,0.55,204,low,False,False,False,True,Unknown,daily,False,23,TLS1.3,self_signed,shared,no,97,yes,56,new
globalresearch.ca,True,22,True,Let's Encrypt,0,5.0,Offshore,200,0.54,198,medium,False,True,False,True,Namecheap,irregular,True,55,TLS1.2,none,cloud,no,36,yes,31,growing
dailybuzzlive.com,True,29,True,Let's Encrypt,1,1.5,USA,200,0.41,149,none,False,True,False,True,GoDaddy,daily,False,8,TLS1.2,OV,shared,yes,75,yes,24,established
conservativetribune.com,True,10,False,Let's Encrypt,2,5.5,USA,200,0.8,153,medium,False,True,True,True,GoDaddy,irregular,True,70,TLS1.3,DV,cloud,yes,82,yes,28,new
neonnettle.com,False,58,False,none,1,6.5,UK,200,0.78,96,medium,False,True,False,True,GoDaddy,irregular,True,28,TLS1.1,DV,shared,no,83,no,88,established
nature.com,True,113,True,DigiCert,1,0.9,UK,200,0.3,68,high,True,True,True,False,GoDaddy,hourly,True,82,TLS1.3,EV,enterprise,no,2,no,0,legacy
davidwolfe.com,False,12,False,none,3,7.3,UK,200,0.96,144,medium,False,False,False,True,Namecheap,irregular,True,74,TLS1.0,self_signed,offshore,no,51,yes,27,growing
occupydemocrats.com,True,13,True,Cloudflare,0,6.4,UK,200,0.47,127,medium,False,True,False,True,Namecheap,daily,True,51,TLS1.1,self_signed,shared,no,48,yes,13,growing
washingtonpost.com,True,38,True,Let's Encrypt,1,1.7,USA,200,0.09,33,high,True,True,True,False,Verisign,hourly,True,98,TLS1.3,OV,enterprise,yes,17,no,3,established
rt.com,True,6,False,Cloudflare,0,3.9,Offshore,200,0.99,110,low,False,True,True,True,Namecheap,daily,False,33,TLS1.1,none,cloud,no,45,yes,0,new
wakingtimes.com,True,1,False,self-signed,3,1.5,Offshore,200,0.88,156,medium,False,False,False,False,GoDaddy,irregular,False,18,none,self_signed,cloud,yes,36,yes,50,new
zerohedge.com,True,3,False,Let's Encrypt,0,6.8,USA,200,0.84,142,low,True,False,False,False,Unknown,irregular,False,9,TLS1.1,DV,shared,no,30,yes,39,new
theguardian.com,True,155,True,GlobalSign,0,0.5,Canada,200,0.08,69,high,True,True,True,False,Network Solutions,hourly,True,88,TLS1.3,OV,enterprise,yes,12,no,0,legacy
zerohedge.com,True,18,True,Cloudflare,2,5.0,Canada,200,0.69,123,low,False,False,False,True,GoDaddy,weekly,True,75,TLS1.1,self_signed,shared,no,61,yes,5,growing
britannica.com,True,103,True,GlobalSign,0,1.1,USA,200,0.17,16,high,False,True,True,True,Network Solutions,weekly,True,97,TLS1.3,OV,cloud,yes,13,no,0,legacy
gov.uk,True,185,True,Amazon,0,0.6,Canada,200,0.05,53,high,True,True,True,False,Network Solutions,hourly,True,93,TLS1.3,EV,enterprise,yes,5,no,0,legacy
bbc.com,True,156,True,DigiCert,0,0.6,UK,200,0.11,24,high,False,True,True,False,CSC Corporate,daily,True,99,TLS1.3,OV,cloud,yes,14,no,0,legacy
fda.gov,True,155,True,DigiCert,0,1.3,France,200,0.27,36,high,True,True,True,False,MarkMonitor,daily,True,96,TLS1.2,OV,enterprise,no,16,no,0,legacy
thedailysheeple.com,True,46,False,Cloudflare,0,3.6,USA,200,0.62,76,none,False,True,True,True,Unknown,weekly,True,19,none,DV,cloud,no,88,yes,89,established
